ATG27	-1.875728279180919	1
ATG1	-0.8736545132194364	1
ATG23	-1.107961846815519	1
ATG11	-1.2721496962551697	1
CCR4	-0.6234637922927619	0
SEC24	-2.0334036001658404	1
ATG18	-1.7536803601095183	1
ATG17	-1.4786693000275446	1
VPS45	-2.0798574109071044	0
STE20	-2.324564088458614	0
SFT2	-1.679024347489439	0
PIL1	-1.2710325735490198	0
RPS14B	-3.0130352427184373	0
RPL13A	-2.9202134346119673	0
NEO1	-1.44429195180752	0
YPT52	-2.037579869083986	0
ATG14	-1.3440325286740433	1
LSG1	-2.638207668971928	0
FUN12	-2.501733710206879	0
POL12	-1.0762789969910862	0
RPL36B	-3.0430059262351503	0
CHC1	-2.18576664959284	0
EMP46	-1.699920770878286	0
RPS8A	-2.5991579953551085	0
CKA2	-2.152199959482994	0
CBF5	-2.855731635200666	0
CDC48	-1.4705722008958175	1
DHH1	-0.18070939045861567	0
VPS21	-1.210457161747736	1
SEC13	-2.213508646963804	0
DED1	-2.398585099061172	0
MYO2	-1.712553098861477	0
YCK2	-2.2951251544139173	0
TIF34	-2.503125918277911	0
YPT7	-1.6440381938216881	0
EMP47	-2.3886687586776474	0
YIP1	-1.9536812582170358	0
SEC22	-1.0435166737718884	1
HCR1	-2.377128286325222	0
TRS85	-1.4918947486051288	1
SSP120	-2.3452734074324613	0
COG4	-1.397866695707988	0
SSO1	-1.8739104652952985	1
CMD1	-1.469227293648987	0
GLT1	-2.2968284840474325	0
SEC4	-1.878602538332377	1
YIF1	-2.3663016198470195	0
YOR1	-2.0092778486922613	0
RPS10B	-2.8090794490726463	0
STV1	-2.389887149611968	0
ATG2	-1.874468612288573	1
VTH1	-2.500744750684443	0
RPL16B	-3.0185912484553112	0
DRS2	-1.7748206374266724	0
GOS1	-1.5052627290798126	0
RPS11A	-2.8458450674606155	0
RPL10	-2.6587530096726795	0
RPS7B	-2.651388373920316	0
ERP1	-2.3677041904823795	0
RPL15A	-3.001298504670875	0
RPL16A	-2.963407855913382	0
SUI3	-2.652758073377144	0
MCK1	-1.8379044574855992	0
RPP2B	-2.7899851329720704	0
RPL13B	-2.9356033835459128	0
RPS17A	-3.0023596209639414	0
RPS16A	-2.9100487640810213	0
CDC39	-1.7520911096630414	0
SFT1	-2.487079200185641	0
SEC17	-1.4150934955937904	1
YOP1	-2.310093939851609	0
