Protein.IDs	LFQ.intensity.ATG9_0	LFQ.intensity.ATG9_1	LFQ.intensity.ATG9_4	LFQ.intensity.WT_0	LFQ.intensity.WT_1	LFQ.intensity.WT_4
Q04377	22.1750842055	21.8967972161	22.1993376203	22.2683570032	22.3406935632	23.3878339207
Q04401	24.7970762587	24.7263025424	24.9914521198	24.4470510809	24.8092104351	25.3897663484
Q04406	24.1995032613	24.0900176364	24.2366333742	23.7223397340	23.2913234296	23.5790725548
Q04408	25.1465278297	24.3011757117	24.2461035920	23.7290606948	22.2797087675	23.5851855937
Q04409	30.2016067924	30.1723764558	30.0982437803	30.5825874189	31.3741534886	30.6289847846
Q04410	28.6607413066	28.9329003100	28.8337891885	28.9912639001	29.1385827574	28.6291308544
Q04430	25.0660449850	25.4517591701	25.3378149356	25.4148098494	25.6236310828	25.1542621276
Q04432	28.0395098886	29.0248049404	30.3052757610	28.0792323631	29.4852005247	30.4011956851
Q04437	23.1295228596	23.4209451220	23.4700200947	23.8728121164	23.4966995952	23.4946899279
Q04438	25.6247241155	24.7002829685	23.8686003381	24.4885009320	24.4619173255	21.6786834731
Q04439	29.7188689870	29.8693169361	30.1319826346	30.0980732900	30.1855207993	30.0677013865
Q04458	27.9859550225	28.6462390244	28.7913407135	27.8472011298	28.7253269286	28.6218458870
Q04472	24.2689184887	24.1273842550	23.2027231014	24.2364742690	24.4858646919	24.7409963748
Q04477	26.0462702590	25.1027356745	25.4642473686	25.7618496456	25.6088805816	23.8945125203
Q04491	31.1812049851	31.5034896766	31.3368412349	31.2857661974	31.9755088286	32.1139028603
Q04493	27.4388734607	27.8433854946	27.7623109239	27.2220475573	27.2780252748	27.7818932726
Q04500	27.5667064715	25.3601069801	27.0460064653	27.5862697784	26.2560034365	27.0620591554
Q04511	24.2663536968	23.5117588844	23.7441062892	23.9472518025	23.6988568877	23.7393148458
Q04533	25.4627853006	25.8751104151	26.1889075321	25.7865720611	25.7128927069	25.9594752992
Q04545	23.5798841124	24.2510870458	24.3000129019	22.4357494417	23.9750292280	23.6193045174
Q04562	25.5842431630	25.2270847985	24.9194856229	25.4010856037	23.9520072614	24.7810901947
Q04585	23.6660164347	23.4893968822	23.4865687210	23.5249222276	23.6514454557	23.8252116082
Q04599	27.1033952998	26.1560216194	26.6232070314	26.3298358427	26.7745338150	26.8023101861
Q04600	28.2516449658	28.2935467743	28.3911332827	28.3202060021	28.4073705247	28.2824253302
Q04602	25.2764893331	25.1723493108	25.3245413426	25.2464736260	25.5311329451	25.8188992882
Q04603	25.5493298165	25.4213741174	25.8002328807	25.5394880520	25.5779834819	25.5350342316
Q04632	24.9315924387	24.8099394053	25.5907576246	25.0564547572	25.2222978125	25.6115559993
Q04636	29.7800040327	29.8281444451	29.6933622696	29.8302062580	29.8308364849	29.7958023010
Q04651	26.3721067357	26.5022911133	25.9651922400	26.4483556988	26.3568324135	26.4205609409
Q04660	28.9629793402	28.7878752920	28.8707176745	28.9796575796	28.8343895803	28.8981838494
Q04673	24.7967021158	25.4095466453	25.0324983693	24.9075392459	25.1683147994	25.0589830916
Q04693	29.6502149339	30.0761104366	30.1199370187	29.7551280576	29.8330774990	30.3102941426
Q04697	29.2538399895	29.4006036026	28.9626962505	29.3708596700	29.2815831501	29.2375036396
Q04728	28.4286474042	28.8836973748	29.7334441631	28.6284481691	29.6709994657	31.4626786401
Q04740	24.7294603115	24.2447512616	23.6658065106	23.5977190304	24.3818767262	22.7235469255
Q04767	27.7421144530	26.3881819317	27.2260813259	24.9822685037	24.4243466117	25.2206730466
Q04772	25.9076376225	25.6150169412	25.8669517617	25.6445227812	25.4788697168	25.5119339446
Q04773	28.9138801816	29.1993253503	29.7701012735	28.6467345503	29.4927281577	29.4983487780
Q04779	24.5640846243	23.9244391397	24.7226006951	24.3852242235	24.1569100361	24.0422317274
Q04781	26.5388036892	26.8120801831	26.6674439129	26.8613955020	26.2644201769	26.1122867111
Q04792	28.6297004445	29.9501269817	29.4490901025	28.8788299215	30.4749834302	29.0339259701
Q04847	23.1816326523	23.4775033078	24.8218814440	23.3130493481	23.5846629491	23.7159897159
Q04867	26.3358548916	26.3598057810	25.8496898866	26.2226582699	25.8364999778	25.9912354133
Q04868	24.5086811050	24.5537844719	24.3164235195	24.8784523979	24.7557039059	25.0476623143
Q04869	29.9394994408	30.3006718747	30.5922754889	30.5864448946	30.9152590791	31.0609497126
Q04894	31.6865446265	32.0813078120	31.8093271311	32.4829670909	32.3404089364	31.8988579335
Q04924	24.8575178679	25.2151897113	25.5341953224	24.8518937362	25.2438990081	25.2030012011
Q04934	27.0314830589	27.2342098829	27.1160853400	27.1215232173	27.1887112126	27.6568699328
Q04935	25.7406928570	25.9942429907	26.0372815935	25.5990879915	26.0670713470	25.8156172293
Q04947	30.8612909682	30.1693098920	29.6926304943	29.9435569327	29.8737928372	29.6077206875
Q04951	24.8616822682	25.6914850088	24.1131910330	24.6552206813	24.8590616766	24.2974199999
Q04958	27.3792147020	27.2874049468	27.3933767276	27.6947302743	27.8249779741	27.7665049079
Q04964	26.8747021660	27.9985066533	27.9601310747	27.2725492547	27.8935794802	27.5676239343
Q04969	26.8376734291	26.6138480250	26.9153923343	27.0876694904	27.3606538157	27.7791315036
Q05015	25.5058835140	25.2879411578	25.2157775421	25.9351154885	26.0185068385	25.7300368530
Q05016	31.2890436571	31.4355844386	31.4099438855	30.5956087728	31.3042973913	31.7410166493
Q05021	25.1668996369	24.7896005745	24.5556615719	25.1177907746	23.6310117793	24.4572692266
Q05022	31.3537092416	31.1379038899	31.0422200794	31.4603089754	30.9733735506	31.1460938189
Q05024	24.5672138181	24.4351984567	24.5173963386	24.2901385378	24.5148664402	24.5751341080
Q05027	25.8556332235	26.0728057726	26.6025790700	25.9577213612	25.6787612090	26.0762923202
Q05029	27.8286661759	27.7130612381	28.0751466995	28.1423885018	28.3480861064	28.3322617890
Q05031	25.2313790092	24.5859918800	25.1833618265	24.9356554002	25.0177907687	25.2336806453
Q05040	28.3474763416	28.3403668737	28.1634254834	28.1274947360	28.7616098278	28.3628428938
Q05050	29.4431565948	30.0273543994	30.1154545264	29.4334686641	30.0469887454	30.5604612990
Q05123	27.1188172943	27.0737507350	27.2287759383	27.3832903156	27.6840039350	27.7986135435
Q05166	25.3372061816	25.7015732545	26.3852034330	25.7308043592	25.4091782576	26.0004309093
Q05359	28.9466573972	29.0044932346	29.0054110430	28.7656671657	29.3606966682	29.7202556406
Q05468	25.2086726652	25.5894025082	25.4523600819	25.7785014977	24.6752370667	25.8064237111
Q05506;P38714	32.3874878957	32.4896653796	32.4848135816	32.6125389875	32.7518974689	32.3381207355
Q05515	29.0309612571	28.7648185098	28.2259914188	28.7093409513	28.8873164978	28.9413791253
Q05518	25.3945786146	24.3920762573	25.4003411894	25.5045466702	25.0078432145	25.4774320256
Q05521	25.4575878838	25.6237322465	25.8371246558	25.5225065577	25.6597811892	26.5332889573
Q05533	25.3367705063	25.1741298060	25.0215810738	25.1616470255	24.0418562900	24.5220690188
Q05543	25.6451874674	26.3832780219	26.1769019872	25.9654763531	26.2539192431	25.2142613171
Q05567	28.5235172233	28.9242528774	28.7193342529	29.0953440090	28.9097488372	28.7245343525
Q05580	27.3570237986	27.0870196318	27.0688443085	27.4854576160	26.8668549449	26.3307268111
Q05583	24.8966477538	24.6808672251	24.6849553150	24.9410557166	25.2146851438	24.9176586057
Q05584	28.7376749200	28.7011520514	28.7701937628	28.8031878687	29.6651471609	30.0004139714
Q05636	26.9775205914	27.0007717847	26.9745982129	26.3504564484	26.5919590461	26.7380738569
Q05672	25.2595823757	24.5598521565	25.4229188394	25.5165947912	24.9106916011	25.0801226473
Q05775	29.1050016015	29.7965506890	28.8773731893	30.4327675988	29.8552526146	29.9027976699
Q05778	25.9921363148	26.3148928560	25.8407225476	25.6914386616	25.7503495084	25.8115041279
Q05779	23.1797012022	23.0273110420	23.0620758000	23.2222800206	22.6439399303	23.4606876253
Q05785	26.2119734658	26.4128030696	26.1905855242	26.9913961567	26.4824344601	26.7485995993
Q05787	25.8252767708	25.7152563937	25.7627448265	25.4137996914	25.3549688690	25.9663593614
Q05788	27.8845831104	27.8840565520	28.0863824667	28.3054736967	28.1409800080	28.2612353293
Q05789	24.6840402787	24.8147202950	24.7819775976	24.5274928358	24.9441128152	24.8455191099
Q05791	24.2888088085	24.6907186951	25.0806263668	24.4417581968	24.4640114965	25.1623995881
Q05812	25.9207315534	25.9803124139	26.2891785662	25.8152578883	26.0279076887	25.9741539923
Q05854	24.7084978373	23.8378989012	23.6621853399	23.5184338000	22.3065232422	22.9443194258
Q05871	25.1854262544	25.1913949890	25.7388984977	25.4042280990	25.2579133760	25.6216550320
Q05874	27.6718131694	27.2431974995	27.4230129620	27.2684513057	27.9273601149	26.7314220402
Q05881	25.9893968902	25.3969504020	26.1126270358	26.2683115960	25.8386294690	26.3031438229
Q05892	24.9174228647	25.6751126156	25.7234925768	25.5453599750	25.5214748019	25.8990260267
Q05900	23.0186026589	23.1185548455	23.1234985325	23.2653405736	23.0806218058	23.7379655017
Q05902	23.8174139013	23.7034739314	23.6256626832	23.6619366049	25.7734011386	26.3599238101
Q05905	31.5756616070	31.9795913342	32.4528067241	31.8142429422	31.7013151555	31.7386493574
Q05911	32.8100576460	32.5395138363	32.4585096517	32.9722353143	32.9459126871	32.5076888995
Q05924	25.4376591529	25.5456341424	25.8022604602	25.8112837171	25.4598569103	25.8955572209
Q05926	25.6282818652	25.6289134106	26.5823543679	25.5954173635	26.8338957603	26.6997827230
Q05931	26.5079956306	26.2217029325	27.0566619478	25.9774265607	26.6360907475	26.9004547854
Q05933	28.8751452202	29.6928729159	29.5337523001	28.7103054701	29.1030856771	29.3515338051
Q05934	26.0423728694	26.0715238346	26.1623922696	26.0018325626	25.6860026778	26.3917822846
Q05942	26.3534780522	25.9517733621	25.4845906638	26.0051222789	25.0711277536	24.0712481895
Q05946	28.2816995613	28.1189556921	28.5401664629	28.3558576484	28.1258809947	28.3949383680
Q05948	27.4545226823	28.1374520358	28.6263781283	28.2374291555	28.8002923566	28.9647745351
Q05949	25.4177488049	25.1951826588	25.1574457060	25.4599043712	24.9473472604	24.1396948909
Q05958	24.2576806966	23.9406446846	24.3632824125	24.1953281964	24.6432390411	24.2707040359
Q05979	28.6487418957	29.6936927260	29.9614277336	28.5568303335	29.3100897254	28.5273215980
Q06010	28.5833418616	29.3832822566	28.9569114060	28.6112013247	28.7431222785	28.9898171221
Q06011	25.9898039468	26.2052134013	25.9666859700	26.1211731518	25.9255541791	25.6373961751
Q06053	27.2901550326	27.4685201714	26.4671170881	27.1897695222	26.1913586185	26.5656715841
Q06058	24.5050897135	24.1741944672	23.8316679686	23.9999607760	23.3488796103	22.2358768676
Q06070	24.0746867117	24.0216246597	23.1627126575	23.8538190112	24.1669810055	22.5270817624
Q06078	27.3838146144	26.9089204773	26.9440970393	27.5507404340	27.1926880162	27.3860199160
Q06089	24.6068607475	24.6361516531	25.1547422956	24.7003969665	24.8006975811	25.0151437627
Q06096	26.1280849148	26.2298833934	25.9683558810	26.1467175654	26.0208745188	26.0933751606
Q06103	29.5290179125	29.4944319786	29.6142872639	29.7563270918	29.9390591861	29.6039540272
Q06106	27.8307805176	26.8411057223	27.1120044381	27.5693588736	26.4893651805	27.1168354995
Q06107	24.9036893542	24.1345173824	22.9625403446	23.9728662687	24.1964247804	21.2877851276
Q06108	24.4113546846	24.2535757086	24.5175726461	24.0380327845	24.3002880835	24.6140295739
Q06132	25.8491077260	25.2925550144	26.1868211515	26.0467339574	25.2206660984	25.4579601332
Q06137	24.3239605735	24.1585178722	24.7709766017	24.5192389738	25.3615620171	25.0821300389
Q06142	28.4153813237	29.1340082779	28.4636898051	28.9300692105	28.6251444943	28.4630166961
Q06143	25.3433354185	25.4084582197	26.6009160208	25.6455489067	25.2467955397	25.8108861500
Q06144	26.0954129085	26.3915037259	26.5820734146	26.0004453961	25.8758782098	26.2958934843
Q06146	29.0537927759	28.8969870569	28.4730384926	28.5534303238	29.1776125440	29.7073947176
Q06147	24.8491528306	24.5055473230	25.1895347026	23.7904688696	22.9218408042	23.7649104760
Q06151	29.9280684087	30.7589717958	30.4610185002	29.7688340039	30.9525560974	30.7147603070
Q06152	24.4734763093	23.6790568477	23.7486258560	23.7787274884	21.6357564828	22.8702969582
Q06156	25.1960673860	25.4978389499	25.3918707994	25.5270549877	25.4834738317	25.0775559542
Q06164	28.7146777073	29.4226272246	29.3642878423	29.3992991068	29.0895424891	30.2932274070
Q06168	26.0017038331	25.4441251261	25.1384791262	26.0231234164	25.7236218986	25.9591499859
Q06169	25.1044537701	25.6718157221	25.6277875389	24.2829250302	25.2914673035	24.7616097220
Q06170	25.5517761490	25.5766936264	24.7813403646	25.2944592851	24.9240617793	23.1070273245
Q06177	25.0172362847	24.7207471912	24.6403534874	24.6636312248	24.6071091355	25.2514763629
Q06178	25.6436020166	26.0105428091	26.2442351907	26.0027565998	26.2991258238	26.4174656872
Q06179	26.1808443922	25.8677196422	25.6133149156	26.1172726123	26.0639796085	25.8189761220
Q06188	25.0257078899	24.9258702051	24.9819427960	24.7803943966	24.8053139265	25.7057785781
Q06204	24.4124425134	24.0950408191	23.3207113063	23.2742742020	23.9346663319	22.1811067708
Q06205	28.5944834620	28.5310529282	28.2856545318	28.7431925438	28.3329637428	28.6599114429
Q06214	25.9335394847	25.2353739372	26.1874861667	25.8811272526	25.7851649225	25.4990762390
Q06217	26.8320490702	26.6017716744	26.5220506399	26.3378964982	26.0990893817	26.3658377436
Q06218	28.4502546252	27.8456001989	28.1109824064	28.8374049966	28.1232564438	28.3254271293
Q06224	24.8652549555	25.0519329339	25.9669578477	25.5727145232	25.2044831891	25.7994834308
Q06245	26.5835452060	26.3333172485	26.2454066129	27.0898452031	26.8781551722	26.4645400383
Q06251	24.7466372207	24.3426858851	24.7089821167	24.9593882034	25.8933543655	25.7911003376
