Protein.IDs	LFQ.intensity.ATG9_0	LFQ.intensity.ATG9_1	LFQ.intensity.ATG9_4	LFQ.intensity.WT_0	LFQ.intensity.WT_1	LFQ.intensity.WT_4
A5Z2X5	26.5398542431	27.0820189507	27.0104309365	26.5798810359	27.4014672027	28.0836977048
CON__P00761	34.0040484848	34.1578756484	34.0136636927	33.9332843251	34.6616578283	34.6277174648
CON__P02533;CON__P08779;CON__A2A4G1;CON__P08727;CON__P19001;CON__Q04695;CON__Q9QWL7;CON__Q7Z3Z0;CON__P19012;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y9;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q7Z3Y7;CON__Q99456	25.6290465935	24.2336803676	23.7293038276	24.3990124348	23.2753112214	21.3038613667
CON__P02769	22.4704214420	23.0207070046	23.1900814203	21.0174155480	22.4096365929	22.9884451383
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	29.0854872774	28.7156196862	29.3649981074	27.0745458561	27.7147043373	27.5746184644
CON__P07477	26.9447591140	27.2584140460	27.6718080070	27.7568065055	28.4596408643	27.6699919159
CON__P13645;CON__P08730-1;CON__P02535-1	28.5879101938	27.9367719230	28.3876811853	26.1632102224	27.2760272076	26.4055426602
CON__P35527	27.1256292948	26.9242528774	27.9516742652	25.1806304312	25.5906588798	25.8243698586
CON__P35908;CON__Q9R0H5;CON__Q6NXH9;CON__Q6IFZ6;CON__Q7Z794;CON__Q3TTY5;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;CON__P19013	26.4292358621	26.2276398019	26.3753145063	26.0298828756	26.0910972577	25.0495843936
CON__Q2KIT0	23.8568567831	23.4129558140	23.5649639387	23.2351884078	22.1251344931	22.8108232299
CON__Q3MHN2	25.9364794578	25.3048406817	25.6100115998	25.4837076954	25.4642291883	25.4907434269
CON__Q86YZ3	25.1064264214	24.6575307076	23.8786663012	24.9057074692	24.9536891831	24.6447856864
D6VTK4	25.1875665881	24.7188157487	24.3318175953	25.2251460219	23.7632446393	22.9869534054
O13297	27.2607018353	27.0328718181	27.8146056320	27.3514954442	27.2749361854	27.5742391970
O13329	24.2260745312	24.1277887224	25.3816251483	24.4459025420	24.2712527847	24.0815323845
O13539	24.8549595392	24.7593079313	25.6080811669	24.9659071627	25.1574232189	25.2215645442
O13563	27.6803310446	27.8578425826	27.6737860205	27.6221755721	27.3459230800	27.2732484722
O13585	25.4508269064	25.6667031270	25.9081484375	25.4878744804	25.6398247106	26.1290130145
O14455	33.5673534785	32.9603821382	33.5756580820	33.0621330728	33.0232940099	33.0528908433
O14467	31.6977419183	31.3599197760	31.5827405893	31.3994172604	31.3506127372	31.4806492442
O43137	27.5230578844	31.4036861180	31.3720030768	29.0348775270	29.5232070300	27.6178767826
O74700	27.9556926564	28.2174907366	28.9756948008	28.8633045560	29.2335091937	29.3467010227
P00044	25.9011055931	25.5653868947	25.5576472679	26.4120302110	26.7049484051	24.8496367944
P00045	27.5733427093	27.5326956321	27.6312405577	26.5341753953	28.2879743114	27.9376688060
P00128	27.4277416154	27.9149675527	27.2207671943	27.3353313214	28.2171297318	28.0080440934
P00175	25.3517388729	24.9306726811	24.7709308488	25.1525799597	24.6840878650	23.4323075633
P00330	37.0823549732	37.5878236142	37.5661455295	37.3894657031	37.7386445140	37.5463064461
P00331	27.8399091360	28.0951567204	27.8198910829	27.7929841760	27.7483997015	28.1143855263
P00358	34.0577135933	34.2259424187	32.3878620232	34.2238075856	34.5239260205	34.3990290542
P00359	37.8870307951	38.3838551492	38.2144339655	37.9796459131	38.3193068773	38.1783309837
P00360	34.4760065172	35.4010154211	34.0878921186	33.4501447198	35.7229734501	34.4712082198
P00410	25.2140764180	26.5790723953	25.5716677935	25.6240329203	26.2074217412	25.8381836771
P00425;P00424	25.5009219675	25.6578803012	25.3563662999	25.3436475818	25.7787991059	25.6792157449
P00427	29.1023313217	29.4798916174	29.1862020424	28.6200900359	29.8398258445	29.9540719897
P00431	29.2087869147	30.1171744298	30.3714951392	29.8829704712	31.0869093130	31.3084141125
P00445	33.8355371586	34.1892481372	35.6843774555	34.7430590217	34.9829227126	35.1026055254
P00447	29.7620447870	30.1536302828	29.9606174583	29.4209149089	30.6457769125	30.2684739669
P00498	30.7067542805	30.7621505269	31.1036365809	30.9298208007	30.9730932796	31.4955474275
P00546	28.9933714422	29.1471607875	29.3777404943	28.9571905982	28.8789632287	28.9617620398
P00549	37.7463057701	38.1799459065	37.7111958623	37.4952603671	37.4070230229	37.4924395742
P00560	37.7580829378	38.0348040060	37.9584629522	37.7176527885	37.9480978796	37.7762325402
P00572	25.7267675927	26.1559621322	25.9834114913	25.9187091302	25.4448975675	25.5862513373
P00635	26.8428923694	25.5541155482	26.9971109139	26.4061312105	26.3481157372	26.2532437075
P00724	26.9327847135	27.3097685823	27.7041170965	27.4874094360	27.6477274387	27.4574337582
P00729	27.2193378746	27.6313401480	27.5838284756	28.0049802621	29.2780025850	28.6310284174
P00812	28.6776031725	30.0929096209	29.6837710183	28.8529480547	30.1108006422	29.6779741167
P00815	32.6862685089	32.5891436861	32.6486804391	32.4051866556	32.4520889663	32.7923824331
P00817	32.7192430454	33.5316787133	33.2596710870	33.3389113150	34.1028166980	33.6541450246
P00830	32.7117046286	33.1489677002	33.0407992161	33.1905703617	33.8534874403	33.5005709790
P00890	30.5432711053	31.8313374957	30.5677427072	31.1881203521	32.1918873934	31.4582664114
P00899	30.5657461381	30.6396953765	30.9016111951	30.7990986670	30.5407609034	30.8335293128
P00912	26.2417236724	26.8835177527	26.9434410203	26.5361349776	26.6894733569	26.6007883733
P00924	34.4460903960	35.1390720927	34.6602776363	34.3960993709	35.5371987062	34.7015809720
P00925	37.7697647429	38.2267907700	38.1831184251	37.6340880718	37.6659992122	37.7370619429
P00927	30.9291355895	30.8698912875	30.6019210089	30.7212556481	30.6307523858	31.0994131749
P00931	32.6699830589	33.2147864163	32.3498697277	32.4736009766	32.5372579508	32.5190887757
P00937	29.4510349524	29.7142905327	29.6853576469	29.6103576584	29.7334083453	30.1775197271
P00942	34.0557300876	35.0278370010	35.4681745690	35.0562025387	35.2285176992	35.2892539816
P00950	35.9366874716	36.1784023973	36.3854992976	35.7797027120	36.0714956361	35.7505258418
P00958	32.2246877769	32.3053726695	31.9759354037	32.4079884153	32.0457232525	31.9356772027
P01094	26.3002912422	26.2794835015	26.3843278355	26.4862689370	26.7658875556	25.4155700319
P01097	24.5603319535	24.7826763741	24.6305002483	23.9424135886	24.9994270815	24.2870040686
P01119	25.8361723275	25.5945911680	25.7889082478	25.2353311441	25.4313165618	25.8759220930
P01120	29.5183500733	29.4790200658	29.8239323103	29.7001295338	29.9740739900	30.1823804381
P01123	29.9858781013	29.2459713984	29.6415738942	29.9039184372	29.9708491492	29.5342798220
P02294;P02293	32.2759440517	32.2085860107	32.9446742259	32.6033525631	32.5715634541	31.9887574125
P02309	33.4738941836	32.9811485551	32.3563786210	33.9088106871	33.2435191034	33.0958009304
P02381	23.9283939825	24.4775134174	24.6032437533	24.3854489144	24.5566401509	24.7141226251
P02400	31.7217663682	31.7018398396	32.6977046228	32.7922448161	32.2247483657	32.9059771457
P02406	33.6095683268	33.1114020474	33.4061051169	34.1306653470	33.4072823605	33.3846362846
P14127;P02407	34.2656579283	34.2279334112	34.1595176891	34.7889102677	34.2575392928	34.0613387912
P02557	30.1402638461	30.7317075858	30.5465702337	30.4727249586	30.5009751041	30.5988170275
P02829	35.2604673613	35.9612689137	35.8507507736	34.9112156531	35.3637479765	34.8647133951
P02992	31.4941812468	31.0355956914	31.1434525687	31.7484685464	31.5167809839	31.2802644763
P02994	37.4376202520	37.6302588805	37.3003340390	37.8201000574	37.8620269295	37.4446110491
P03871	26.8564420569	27.1992948484	26.9908743577	26.9367326864	26.8968337922	26.8380067631
P03872	26.5128440716	25.9236706525	25.7505959535	28.5857092635	28.3088242909	28.8359517092
P03874	25.6528029804	25.2366613261	25.1875270463	25.4811693633	24.4937640500	25.2109081151
P03965	29.9336623219	30.6937951695	30.7854653872	30.2506167095	30.5271751198	31.6608137164
P04037	28.2395230265	28.6546139210	29.1284275994	28.5577237427	30.0325362486	30.6309919493
P04046	31.5896491233	31.1132223621	31.4143890295	31.6336009145	30.9556801984	31.0407089202
P04050	31.4029814325	31.4664929392	31.0991030754	31.2243000090	30.9129230850	30.7124356703
P04051	28.3065902971	27.5765412339	27.5830565118	27.5949996552	27.2911255796	27.5775733328
P04076	29.0120495815	29.4710327790	29.5314805822	28.8705417619	30.5098902281	31.0779037946
P04147	32.9889517537	32.5648689141	32.9886600849	33.3512017564	33.0097457222	32.8812783906
P04161	29.2273200615	27.8148458942	28.8262175214	28.2592540444	27.9966688879	28.0102888349
P04387	26.4365705407	26.4028745509	26.4740063159	26.6147663855	27.5310328558	26.2969505321
P04449	33.2821955525	32.1992652167	32.8957063402	33.1096032900	32.5986821926	32.2483191978
P04456	33.0303304947	32.5734313418	33.5884996838	33.8319650026	33.4835436869	33.1234932294
P04650	24.7811550884	24.6327404746	24.3063901693	24.4528514814	23.6021158743	25.1003762411
P04710	29.8061748263	30.0122360973	29.9811386374	30.2266613045	30.1784879805	30.1595556837
P04786	27.8190267523	27.6222546411	27.6138235046	27.5281639450	27.2751180797	27.5253217486
P04801	32.6896768316	32.7326842964	32.6711014603	32.8111368702	32.9167535901	32.4276795597
P04802	32.6809924108	33.1171107726	32.7471746650	32.9634808354	32.8338455973	32.7592951931
P04803	25.0070704433	24.4007374892	24.8073265085	24.8183250880	24.8004608610	24.6713259445
P04806	32.5329981028	33.5254565802	32.4365815758	33.9719169847	35.3320324352	33.4098298161
P04807	33.7913820161	34.2439089652	33.6639637440	34.0056188002	33.9734961521	33.6981040731
P04819	26.8047946530	27.1911240858	26.9169526072	27.0234131849	26.8714337855	26.8002360442
P04821	25.0621978478	25.4707005558	25.8737394114	25.5904228992	25.5981693717	25.6735185133
P04840	33.4911585721	34.3247547555	33.5241458217	33.4085332584	34.4154921853	33.9561075168
P04912;P04911	30.6211910809	30.6864349012	30.6804612941	31.5047653471	31.1227890760	31.6977994454
P05030;P19657	35.1995836916	34.7935584693	34.7204994093	35.0877808281	34.8947174750	34.9294819958
P05066	24.5461118795	24.3165969105	24.2620358045	24.3262500066	24.8617771561	24.4129594320
P05150	25.3525470768	24.6830679174	24.5227933254	24.6729224576	24.5059666096	28.8251223550
P05317	34.7326182194	34.3811739591	34.5904652087	35.1044231331	34.6823247686	34.2118611342
P05319	30.7272216698	31.9484464564	31.1957478464	32.9621656001	33.0427716761	32.0031637758
P05373	29.0425701071	28.5957830942	28.9424290729	29.3881001421	29.8136117894	29.3166793178
P05374	28.5663978626	27.6842710386	27.1416663916	28.2972378714	27.8059685412	28.0099523462
P05375	25.0328378898	24.3634233432	24.3757583604	24.6778749561	24.9554564959	24.3004315070
P05453	30.8560400888	30.9872387934	31.0417732171	30.8654708736	30.6767420751	30.5968579212
P05626	29.2129114107	29.2726210086	29.1654193714	29.2580452877	29.6185832433	29.5834461301
P05694	33.0391299935	33.6589100250	33.8114071443	33.1879761042	34.3823687942	34.7041289939
Q12213;P05737	34.4805631795	34.1041298508	34.1539905387	34.7137503650	33.6060891828	33.9276275126
P05738;P51401	34.0085516025	33.7560313531	33.7527436027	34.7600424352	34.1215883836	33.3728269823
P05739	33.8904163484	33.2710541483	33.5714625934	34.0350270285	33.4223730457	33.2758543196
P05740	32.1542780776	30.8924566989	32.3849457600	32.9911084831	32.0223462046	32.5345722701
P05743	33.0438330217	32.5566544081	32.3351750646	33.5335688371	33.2313693759	33.1428684909
P05744	33.4056913502	32.9654294729	33.3024006989	33.5299314068	33.0321663484	32.8045389929
P05745	28.8246862460	28.5557998505	28.8895714737	27.8806018179	26.2651346227	27.9749817135
P05748	33.6825752897	32.9491796922	33.4784121575	34.0168695306	33.8212497916	33.9952350651
P05749;P56628	27.7545692776	28.3737865450	28.7541042332	31.3352688007	31.8307359441	31.3450568496
P05750	34.3428890404	33.8816303688	34.4794142543	34.6335055819	34.1020158681	34.1815247701
P05755;O13516	34.7216893855	34.3538818072	34.7473704306	34.4979392510	34.3253921038	34.3129249172
P05756	33.8183609498	33.7552134988	33.6488481188	34.0949532503	33.6192460860	33.4955724637
P05759	34.8461252246	34.6068191024	34.5084651360	34.8630606416	34.6788381176	34.4000994020
P05986	25.4821105353	24.6124180622	21.6911104682	25.1926803740	23.9785208431	23.6683926718
P06100	25.8564187912	26.5888150438	26.5878220491	26.4703091298	26.0151142950	26.3743559601
P06101	29.1780551538	29.7609939534	29.2344853332	29.0947778360	29.4015713436	29.1071154179
P06102	27.2964539351	27.7694918410	27.8012108194	27.9046770332	27.3380221637	27.7637134945
P06103	31.2277537917	31.1946877143	31.1769764028	31.5759001159	31.2188209885	30.9524093944
P06104	25.7346262416	25.6840825767	25.8039625011	26.5375413322	25.8141518950	25.9572896438
P06105	32.8227998214	32.7249146940	32.8241402064	32.8717887437	32.9035227158	32.8402087429
P06115	24.4466000543	28.2959332182	28.5672459969	23.7493181141	27.1027014059	27.5121557198
P06168	33.3467627204	32.6772246215	32.7451959413	33.0291931445	33.3277231232	33.8259628693
P06169;Q07471	37.2831739826	37.4759307341	37.0945245018	37.8659037470	37.7321894919	37.6623645756
P06174	25.9940752979	25.8845712168	25.5870942211	25.5780786525	25.9937650248	25.9756940931
P06182	25.4280889017	25.1811426850	24.9935662068	25.0744859298	25.1417881818	25.3237946161
P06197	26.6713668205	27.8095612910	27.3200501846	26.7676453235	27.9141645528	27.4316210082
P06208	31.3193750934	31.3507991821	31.3880127042	31.3280607949	31.8767100173	32.6389701324
P06244	25.9952781979	26.2103474886	26.5844597752	25.5525772752	26.5672760957	26.4286869111
P06245	29.6285183920	29.8968980722	29.5068078659	29.4336244102	30.0503136951	29.8316265439
P06367;P39516	34.4227211729	33.6758639245	34.3038655668	34.7013731189	34.2507630182	34.0425264998
P06634	32.0452178761	31.9493405965	32.0678413922	32.3389113150	32.1484582554	31.9117861717
P06700	23.1684336023	23.3933552125	23.4188342851	23.0335679099	22.8281550617	23.1554941018
P06701	24.2681090469	24.1067921525	24.7801662427	24.4717356026	23.0754007182	25.5371238000
P06704	26.7874816369	26.0702828427	26.4908363132	26.7379636286	26.6776374007	27.1581450592
P06738	30.2060160105	31.3010081542	30.7994295092	31.1102428432	32.6060665893	31.4596530998
P06773	24.7744066544	24.4494417918	25.0932990372	25.2911653794	24.8688328589	25.4247205981
P06774	24.5797883296	24.8234795921	25.0361064613	23.7544143928	25.7513238750	24.8746055015
P06775	23.2368053356	23.7301126476	23.8005891926	22.6681767185	25.1003819840	23.8098561166
P06776	24.5469463379	24.8193351573	24.4172602183	25.2938445434	25.3038584057	24.8422467208
P06778	24.9913657803	24.5784025419	24.4227305758	25.0178849608	24.5259895144	24.3150323304
P06779	27.5722763219	27.5765709713	27.7893231445	27.6055418015	28.4509921673	27.6599321862
P06780	28.1183027561	28.6388442917	29.9013297210	28.5178807631	28.6629594437	27.6431936313
P06781	27.7713870950	26.9993357725	27.1418570225	26.1564697003	26.6335393114	26.5909683385
P06782	28.8144715674	28.8442471725	29.1627915536	28.3464170533	28.4222293336	28.5541093968
P06785	27.7166921260	27.9467209885	27.2282374183	27.6546061602	27.3731979559	27.5135014806
P06786	29.4117021200	29.5686491617	29.4093204709	29.2479622560	29.3310403823	29.4560963958
P06787	30.1570988195	30.3224790477	30.5429659721	31.3746366265	31.5812728626	30.7400025712
P06839	24.0438896716	23.7198819051	24.2558096935	24.1639801756	24.3169216260	24.0887729204
P06843	25.0375123121	23.8831584413	24.1958691345	24.2171956175	24.2527071861	23.9111918254
P06844	24.4458844317	24.3949019060	24.2344601428	24.5449563514	24.0835327299	24.3403048898
P07143	25.8549370776	25.9558275931	26.3991136690	26.4139417876	27.3201514034	28.2203240497
P07149	34.2788639181	34.6247284171	34.3826034563	34.4997998930	34.5046035200	33.9799259235
P07170	32.9491155190	33.0779267428	33.5663674655	33.3943500436	33.3478591409	33.1374875649
P07172	29.3750112985	29.6859886556	29.8087494424	29.3224365730	29.6811070077	30.0885657926
P07213	30.7440714110	30.9612334532	31.0348611701	31.1643274590	31.3769633319	31.4429242174
P07236	25.0391343180	24.8562691391	24.9496829674	24.7603373871	24.6427316355	25.1178767807
P07244	32.4221054158	32.6424623626	32.5265203658	33.1161983746	32.7745700009	32.8147088574
P07245	33.1935250663	33.2608624391	33.1942550863	33.2097379187	33.1857324645	33.2072823574
P07246	31.0890246438	31.4309314867	31.4605409605	31.5715720717	31.4908792946	31.2867605009
P07248	26.2856293965	26.6637774733	26.2811702851	24.8293897085	24.6984256894	23.9601721524
P07251	32.8984583284	33.3942348877	33.1918116670	33.1589357380	33.7096033172	33.5305703395
P07252	23.7836893606	23.7134440683	23.2366177332	23.4772996804	23.0092376146	21.3881377594
P07253	24.9870417367	26.8812406012	26.8560943708	26.2537426956	27.0586851540	26.6369458980
P07255	26.8701529989	26.0726202397	26.0282057846	26.6479758000	25.1273929897	25.8550428140
P07256	30.7784505601	30.9756996891	30.9017519115	30.8034741312	31.2304170004	31.0985562914
P07257	31.1322934541	31.6795542632	31.2082036671	31.1985830413	32.0568084515	31.8630163063
P07258	28.6681106756	27.5431193897	29.0642502541	28.1298515705	28.0051920668	30.0803096235
P07259	34.8879744058	35.5615746883	35.0239620401	33.6241003066	34.0672348195	33.3703715628
P07260	30.7881875715	30.2408156195	30.4908827680	30.5242752029	30.4869094486	30.5754146014
P07262	33.1166585123	33.3362164876	33.3379336143	32.8392762372	33.0847869041	33.5127446446
P07263	31.0865757022	31.4427136510	30.8002600546	31.2861974964	30.9043497647	30.3776981526
P07264	32.0323957582	32.6082464703	32.7787579653	32.1009874236	32.9225166333	34.4752129717
P07266	24.3585297021	23.9778242158	23.8923274257	24.3621063217	24.2305670779	24.9641146416
P07267	31.3547024228	32.0870066317	31.3377256058	31.3227624525	32.2170468920	32.2218684480
P07269	25.4346264190	25.4465265355	25.8684731300	25.7679171083	26.2475743825	26.1886031243
P07270	25.9826434359	25.0027957790	25.0379989248	25.1876403066	24.5697649802	23.5942940064
P07273	27.9961237052	28.4111093171	28.6422646505	28.3737440454	28.3811625814	28.2303241859
P07274	28.6762055198	30.9323649791	29.5797534601	29.9271960855	30.0346865164	30.4954472786
P07275	28.9273743176	29.5595711139	30.0787108499	29.2099595705	29.5973189732	30.8540614844
P07276	24.3449352332	24.1009283405	23.7306612116	24.2164410718	22.6051542404	23.1243860081
P07277	29.4570589722	29.5715696169	28.7938600692	29.1590152174	29.6516556233	29.2448143677
P07278	30.0324267923	30.2585845977	30.2590121717	29.9936690752	30.6383725837	30.0417380200
P07281;P07280	34.1059928364	33.5315593096	34.0942166940	33.5401383948	33.0138389123	33.1679374236
P07283	32.3601527317	32.5335878295	32.7307139960	32.3898670928	31.9678280915	32.2013541893
P07284	31.9920188716	32.1953209978	31.7648427631	32.3980211842	32.2283048804	31.9606307304
P07285	27.3416372442	27.5959658179	27.9634244690	27.3186467645	27.4582397813	27.8839012818
P07342	30.9001089802	31.1049004526	31.2800037399	31.2603630118	31.2580570166	31.8117358014
P07347	29.0547220323	29.3269773439	29.3306667694	29.3398464769	28.8210278963	28.8005279007
P07560	30.1357642538	30.6914029233	29.3686473793	30.3988689630	30.1036490898	29.7466318633
P07702	29.9421448895	30.2329649956	30.3667117645	30.0776635800	30.2129581719	30.7566443880
P07703	30.1654998059	29.8686969846	30.1589585677	30.1986403195	29.5681485045	30.0466675068
P07806	32.5816759000	32.6285963844	32.4153257004	32.5926695837	32.6166467155	32.3406037400
P07807	25.3116271081	24.6545156749	25.9674311799	25.0923205847	24.9946899813	25.3834524925
P07834	22.7960097052	23.7862811955	24.0070824837	21.5186870337	23.2780935617	23.3238460776
P07866	26.2877226371	26.1984889530	26.2751000062	25.9346977325	25.1038215058	26.1797757725
P07884	26.3507465567	26.5479037085	27.6898463579	25.8352848119	25.5777257462	24.8474789864
P07991	30.7917120725	31.7852496478	31.3174048837	31.5057378725	32.1952854740	31.8205567090
P08004	24.6722083916	24.8187340553	24.6334927976	25.2812297565	24.3313377965	24.8672299427
P08018	26.6707289397	26.8513058320	26.7347085760	26.7823956782	26.6068490212	26.5255728623
P08067	27.0317811467	27.8480570007	27.7124839274	27.2457464745	28.0325631468	28.2309017838
P08153	23.0985897198	23.7340067839	23.3950041072	21.5859250875	24.1598133850	22.9714483463
P08417	30.2630947337	30.5519998666	30.7827173958	30.1667888964	30.5979553025	30.4995476936
P08425	25.3016546267	24.9445529967	25.0122463431	25.3524513189	25.0366903072	25.0671138964
P08456	27.3234898975	26.9653410752	27.6895203767	27.4279873897	27.4141585217	26.8810829188
P08465	24.6901241313	25.6842160411	26.7400070422	24.5094016423	27.3334878510	27.9002127225
P08466	25.9184764526	26.3438526985	26.3032574277	26.7083757872	26.1541633809	26.5360959399
P08518	31.0952180111	30.8052216434	30.9117078579	30.9077074347	30.8268248873	30.7771390922
P08524	30.5361095800	31.0025510084	30.2937409746	30.2886749664	30.4409347677	30.2059517894
P08536	25.0250292845	27.8446163056	29.2713061402	25.7301972787	29.1517433780	29.9152791095
P08539	27.1349088987	26.7656634263	27.2422629241	27.0982206717	26.8932832694	27.3760454314
P08566	32.1430833527	32.1000452166	32.2012176510	32.0419073040	32.0650503733	31.9575077768
P08593	22.3464836243	22.7836706811	22.7595333375	22.3023231798	23.2665661131	23.7159091879
P08678	27.3297260493	27.6581183316	27.5731952633	27.5997266163	27.8090495446	27.6319398196
P08679	25.2515511234	25.6464366403	25.6994492435	25.2465800076	25.9855407286	27.0552266084
P08964	26.2215695028	26.0936189474	26.4655034713	26.7155668054	25.9326508536	26.2317581283
P09032	27.7181128615	27.9736901587	28.3732619908	28.2549418408	28.2056765050	27.5285358395
P09064	30.3665675713	30.3106149859	30.1199370187	30.4745237714	30.1526098987	30.3126833704
P09232	30.3234898975	31.6726406521	31.6985958255	29.6069262610	31.5952717257	32.3850688120
P09368	28.0343866109	27.6542630113	29.0549421050	28.2021948930	28.4122164438	30.0792408615
P09436	32.9695034432	32.9694722948	32.8700813555	33.1236385492	32.8944677481	32.7646861176
P09440	30.3410359960	30.5395138363	30.3427613769	30.7538188827	30.5134601825	30.4429242174
P09457	29.6044378610	29.9339414660	29.7763156854	30.1653828750	30.5996810688	30.2644831067
P09547	25.0572085159	24.5396886287	25.1669328854	24.8614186572	24.7851224029	25.1372321128
P09620	26.4479706728	25.6884721462	24.9251275455	26.6988180590	26.4679950397	26.5935007370
P09624	31.1607376834	31.6608109388	31.0886957968	31.9241856037	31.8082877659	31.4167212625
P09733	30.8502771722	31.0172931549	30.5622338570	30.8116612550	30.9053783196	31.1285068039
P09734	27.9879535348	28.4782669383	28.4072801217	28.3535958870	28.2413504542	28.4228428835
P09880	27.3894082694	27.3490656944	27.6203368116	27.5299131965	27.1164710908	27.0620591554
P09938	30.5751504057	31.5861574522	30.2364280865	31.1536715250	31.8273676473	31.2786940850
P09950	28.3190189415	27.4652432249	27.0921156919	28.5888243674	28.1930731199	28.2145923154
P09959	26.1568300895	26.1459532565	26.5924324183	26.0429004711	26.2230817252	26.7904735557
Q3E792;P0C0T4	31.0833439108	31.2010681351	31.6908401459	31.4030009794	31.6279511649	31.5779706417
P0C0V8	34.3325921046	34.7271790713	34.9358374921	34.4471344633	34.5891582153	34.2419458598
Q3E757;P0C0W9	33.0468318612	33.0303828022	33.3485540944	33.4450838952	32.6261920656	32.6537187924
Q3E7X9;P0C0X0	32.7877647876	32.3733602167	33.0781506404	32.8247835329	32.5218676601	32.5199752243
P0C2H7;P0C2H6	34.4436420867	33.2390324753	34.0141518868	34.3072544246	33.9357909842	33.9102656779
P0C2H9;P0C2H8	33.2632798590	32.9067604371	32.6242648384	34.2683530738	33.5136047243	33.0726605794
P0C2I8	26.5219265807	26.5305076505	27.0513947832	26.6156010461	26.2186815053	26.6890716069
P0C2I9	23.9136126333	23.4492112028	22.8349125276	23.6815932932	23.2793371737	20.3753768463
P0C2J0;Q04711;P0C2I2;O13535	28.9743190764	28.2679584817	26.9620216463	28.1697513356	28.1473896475	27.7626059944
P0C2J1	25.8242905165	25.2115691087	25.1030705954	25.2829842835	24.8833269953	25.2746291352
Q99303;Q12439;Q12392;Q12293;P25383;P0CX62;P0CX61;P0C2J4;Q12260	24.5300604613	24.4538359214	24.6401429057	24.6735853414	25.1650868676	24.8445936618
P0C5N3	24.3122946001	25.0775453445	24.9225112757	24.8421647223	24.9980473074	25.3439760075
P0CE68	26.5927790501	26.1062136116	26.1952417879	26.2161411602	26.1524898458	25.5252118726
P0CH09;P0CH08;P0CG63	25.4218596377	25.4556380176	25.4310618061	25.0799091520	24.9638937720	25.1056551905
P0CS90;P39987	33.6100882731	34.0374132390	34.3680364130	33.8747133024	34.3042416899	34.0624377943
P0CT04	28.6939249618	29.6754100735	31.3175103670	29.9600046635	30.8944677481	30.7857639921
P0CX24;P0CX23	34.5438154980	34.0947049131	34.6554872199	34.7898610668	34.1833115808	33.9052799958
P0CX26;P0CX25	33.4267408125	32.9772611140	33.7244825566	33.5294760825	32.9949823501	33.4164568147
P0CX28;P0CX27	27.9313474745	26.9753766668	27.4342633215	26.7178706127	25.4644262978	27.8909231951
P0CX30;P0CX29	33.1137868349	33.0076592382	33.2987987953	32.9668982093	32.8583326885	32.6856929648
P0CX32;P0CX31	33.4635736123	33.4812573093	32.8025604327	33.6979835997	33.2898265154	33.4067711446
P0CX34;P0CX33	26.0429645016	25.8764829543	25.9035436363	26.3571391094	25.8765017357	27.1419282764
P0CX36;P0CX35	34.4723507967	33.8972836331	33.9680280025	34.9489043127	34.5482353520	34.2432883874
P0CX38;P0CX37	33.0063255010	33.0109861878	33.4308155078	33.4251508075	32.7276381543	33.1378565427
P0CX40;P0CX39	34.1661363982	34.4359162187	34.0135009246	34.7227400818	34.4416186114	34.0245938816
P0CX42;P0CX41	33.0261910769	32.5594914752	32.8204046505	33.1417302748	32.8212692545	32.5313032301
P0CX44;P0CX43	33.6325776466	33.4089997260	33.3599934040	34.4485801703	33.9481424410	33.7578764702
P0CX46;P0CX45	33.7749676673	33.2831615480	32.1803153377	34.6311202167	33.6627987067	33.0799590232
P0CX48;P0CX47	34.4954988641	34.3969902517	34.6685194088	34.9549781118	34.7139078357	34.4478494231
P0CX50;P0CX49	34.2438448469	33.9766998974	34.0187004168	34.2511276840	33.7504468156	33.9258635427
P0CX52;P0CX51	34.7674359368	34.6026194443	34.9622628536	35.2968245759	34.9899524313	34.7137921636
P0CX54;P0CX53	34.1724869197	33.7814588593	34.3968377030	34.0595178102	33.6464141987	33.7593368992
P0CX56;P0CX55	33.2081606282	33.3992169366	33.3617846184	34.4072946809	33.5558584383	33.5481784686
Q12485;Q12085;P0CX76;P0CX75;P0CX74	26.7763766579	27.2455288646	26.4700352784	28.7217340217	28.2725694695	26.4524235942
P0CZ17;P0CX79;P0CX78;P0CX77	26.4612548106	25.4780210958	27.7710875209	27.0962780660	28.9967240379	31.8257039953
P0CX83;P0CX82	34.3508126995	33.7638795846	34.6912370625	34.5267411147	34.1740445140	34.2379107646
P0CX85;P0CX84	33.8837232886	33.6683896459	33.5751067406	33.8730095258	33.3838850266	33.0798755344
P10080	31.2203080981	31.2667565728	31.0922759934	31.3463239892	31.1850368764	31.4121659929
P10081	34.6985537757	34.8956609864	34.5407877907	34.6701122263	34.6520058345	34.3342202159
P10127	24.5444972234	25.0386693739	24.7658898155	24.3712418764	24.7953548671	25.0457814413
P10356	26.5084240902	26.4616219442	26.4218202888	26.1257800055	26.5579025425	26.4095959903
P10363	26.9463411901	26.7613687196	26.9188449585	26.9456061187	26.9591796690	26.9516941809
